text,label
"Hey, whats the price for a SKU800 pump?",1
Lunch today?,0
Does anyone have a manual for the TH663i?,1
IT meeting rescheduled to 3pm,0
Need a quote for 10 track rollers,1
"Server is down, anyone know whats going on?",0
Whats the lead time for a new engine?,1
Happy birthday John!,0
Can someone check if we have any 123-456 seals in stock?,1
HR question - how do I update my benefits?,0
"Looking for a replacement filter for the SKU300, any suggestions?",1
Meeting at 2pm to discuss sales reports,0
Is the 555 pump available for immediate shipment?,1
Can you review this PR for the new website?,0
What is the cost of a new boom for the SKU800?,1
Does anyone know how to reset my password?,0
"Need to order some new track pads, who is the supplier?",1
Office closed on Friday for the holiday,0
Can someone provide the specs for the TH663i engine?,1
"Coffee machine is broken, who can fix it?",0
Anyone know the price of a SKU700 pump?,1
Lunch today at 12:30?,0
Need a quote for 10 track rollers ASAP,1
"Server is down, anyone know what's going on?",0
"SKU300 filter, do we have any in stock?",1
Meeting rescheduled to 3pm today,0
Can someone pls send me the specs for 123-456?,1
"Happy birthday, John!",0
How much for a set of 4 drill bits?,1
"IT, can you reset my password?",0
Is the 555 pump available for delivery next week?,1
Can someone review this PR before EOD?,0
"SKU500, what's the lead time for a new boom?",1
Office closed on Friday for holiday,0
Price for 10 track shoes?,1
Who's in charge of the Johnson account?,0
"SKU300, need a new cylinder seal, got any?",1
"HR, what's the policy on vacation days?",0
Can someone pls check if 123-789 is in stock?,1
Reminder: team dinner tonight at 6pm,0
Need a quote for a SKU800 drill rod,1
Meeting at 2pm today to discuss sales report,0
Whats the lead time for a RH460 hammer?,1
Does anyone have a spare laptop charger?,0
Price check on 876-543 filter please,1
Happy birthday to John!,0
Can someone help me with SKUi800 technical manual?,1
"Server is down, anyone know whats going on?",0
Availability of track pads for SKU300?,1
Lunch plans?,0
What's the difference between 123-456 and 123-457 pumps?,1
"IT, my email is not working",0
Need a replacement seal kit for SKU400 drill,1
Can you review this PR for the new website?,0
Is the 555 pump available for immediate shipment?,1
Reminder: sales meeting tomorrow at 10am,0
Do we have any stock of 876-123 filters?,1
Does anyone know the HR policy for vacation days?,0
SKU800 drill rod specs please,1
Coffee machine is broken,0
Anyone have a manual for SKU800 drill?,1
Lunch plans?,0
Price and availability for 876-543 seal kit?,1
Reminder: Team meeting at 10am tomorrow,0
Need help with pump 555 installation,1
IT issue - my laptop is not connecting to wifi,0
SKU300 filter - what's the part number?,1
"Happy birthday, John!",0
Can someone confirm if track pads 123-456 are in stock?,1
"Server is down, anyone know what's going on?",0
What's the lead time for 555-123 bearing?,1
Meeting room is booked for 2pm,0
Does anyone have a spare 876-543 seal?,1
Can you review this PR?,0
SKU800 drill - technical specs?,1
Office closure on Friday,0
Need a quote for 123-456 and 555-123,1
Who's in charge of the Johnson account?,0
Is the pump 555 available for immediate shipment?,1
Coffee machine is broken,0
Anyone has stock of track pads for SKU400?,1
Lunch plans today?,0
What's the price for a set of 8-123-456 seals?,1
IT meeting rescheduled to 10am tomorrow,0
Need a quote for a SKU300 pump overhaul kit,1
"Happy birthday, John!",0
Is the new SKU500 filter available yet?,1
Can someone review my PR for the new website?,0
What's the lead time for a set of 5-678-901 bearings?,1
"Server is down, IT is working on it",0
"Looking for a replacement motor for SKU400, any suggestions?",1
Meeting at 2pm to discuss Q2 sales,0
Can I get a price for 10-234-567 hydraulic cylinders?,1
Who's up for a game of foosball at 4pm?,0
Anyone know if the SKU300 track shoe is compatible with SKU400?,1
HR is hosting a workshop on diversity and inclusion next Thursday,0
What's the availability of 3-456-789 engine parts?,1
"Coffee machine is broken, anyone know who to contact?",0
"Need to order a set of SKU500 wear plates, any stock available?",1
Reminder: company picnic is next Saturday,0
SKU800 pump price?,1
Lunch plans?,0
Anyone has a manual for SKU300?,1
IT meeting rescheduled to 3pm,0
Need a quote for track roller 123-789,1
"Happy birthday, John!",0
Can someone confirm if seal kit 456 is compatible with SKU500?,1
"Server is down, anyone know what's going on?",0
Availability of bucket teeth for SKU700?,1
Meeting room booked for 10am,0
SKU400 hydraulic cylinder price?,1
Does anyone have a contact for the marketing team?,0
"Need to replace the engine oil filter on my SKU300, what's the part number?",1
New coffee machine in the break room!,0
Can someone tell me the lead time for a SKU600 boom?,1
HR is hosting a workshop on Friday,0
Price and availability of SKU800 track shoes?,1
Does anyone have a spare HDMI cable?,0
Looking for a technical spec sheet for the SKU500 pump,1
Reminder: team dinner tonight at 6pm,0
